searched_word,nombre,precio,imagen_link
ponds crema,Crema Ponds Facial Age Miracle Anti Edad x 50g,$ 43.990,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3751845-400-400/4800888211613.H.jpg?v=637687055258100000
ponds crema,Crema Ponds flawless radiance SPF 30 bb cream x25ml,$ 37.990,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3487794-400-400/7702006201995.jpg?v=637190359100400000
ponds crema,Crema Ponds rejuveness pague 100g lleve 150g Crema Ponds rejuvenece pa...,$ 31.590,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3694057-400-400/7702006402699.jpg?v=637493528031300000
ponds crema,Crema Ponds antiarrugas age miracle día x50ml + crema de ojos age mir...,$ 79.990,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3722384-400-400/7702006401265.jpg?v=637581553531800000
ponds crema,Crema Ponds Age Miracle noche x50ml,$ 63.990,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3751824-400-400/8999999060077_H1N1_es.jpg?v=637687039396130000
ponds crema,Crema Ponds Age Miracle Firm Lift día spf30 x50ml,$ 77.990,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3751822-400-400/8999999060220.H.jpg?v=637687037807030000
ponds crema,Crema antiarrugas Ponds Rejuveness x 200 g,$ 53.990,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3503510-400-400/7501056330552.jpg?v=637249840209000000
ponds crema,Crema humectante Ponds Bio Hidratante x 100 g,$ 14.590,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3503514-400-400/7501056330330.jpg?v=637249840234000000
ponds crema,Crema antimanchas Ponds Clarant B3 piel grasa x 100 g,$ 28.990,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3503516-400-400/7501056330309.jpg?v=637249840251230000
ponds crema,Crema Ponds Age Miracle día spf18 x50ml,$ 65.990,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3751811-400-400/8999999060237.01.jpg?v=637687033327970000
ponds crema,Crema facial Ponds rejuveness protección solar fps 30x100g,$ 27.990,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3498675-400-400/7506306216785.jpg?v=637236914657670000
ponds crema,Crema humectante Ponds Bio Hidratante x 50 g,$ 8590,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3503515-400-400/7501056330323.jpg?v=637249840243700000
ponds crema,Crema Ponds Age Miracle ojos x15ml,$ 55.990,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3751815-400-400/7506306244030.H.jpg?v=637687035370670000
ponds crema,Crema Ponds flawless x 2und x 50ml c-u + crema BB x 25ml,$ 79.990,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3666663-400-400/7702006403665.jpg?v=637424528337170000
ponds crema,Crema humectante con filtro solar Ponds H x 100 g,$ 15.590,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/241432-400-400/7501056325398.jpg?v=636459590454830000
ponds crema,CREMA PONDS AGE MIRACLE CONTORNO DE OJOS X 15ML,$ 56.200,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3677909-400-400/image-3ea7edec2f244eed92816773511631c8.jpg?v=637447858604600000
ponds crema,Crema facial Ponds crema protección solar fps 30 x100g,$ 14.390,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3498670-400-400/7506306216761.jpg?v=637236914640200000
ponds crema,Crema humectante y nutritiva Ponds x200g,$ 22.990,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3722379-400-400/7501056326166.jpg?v=637581553509430000
ponds crema,7501056324896 CREMA LIMPIADORA FACIAL PONDS C PEPINO X 195G CREMA LIMP...,$ 34.600,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3677913-400-400/image-d255737491624d7397e8d5e71cf4ccad.jpg?v=637447858609130000
ponds crema,Crema antiarrugas Ponds Rejuveness x 100 g,$ 34.990,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3503511-400-400/7501056330491.jpg?v=637249840218070000
ponds crema,Crema ponds noche hidratante flawless radiance derma x 50ml,$ 59.990,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3382287-400-400/6001087368223.jpg?v=636844869451030000
ponds crema,CREMA FACIAL PONDS CLARANT B3 PIEL NORMAL A GRASA X 200G,$ 39.000,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3682394-400-400/image-3baed1e3588a427f8c6b7d485cafe47c.jpg?v=637462555969200000
ponds crema,Crema facial Ponds clarant b3 x3undx100gc/u,$ 47.990,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3694056-400-400/7702006402347.jpg?v=637493528021670000
ponds crema,Crema antimanchas Ponds Clarant B3 piel grasa x 50 g,$ 17.590,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3503517-400-400/7501056330293.jpg?v=637249840254370000
ponds crema,Crema limpiadora Ponds C pepino x 100 g,$ 20.990,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3503525-400-400/7501056324889.jpg?v=637249840280900000
ponds crema,Crema limpiadora Ponds C pepino x 195 g,$ 34.990,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3503524-400-400/7501056324896.jpg?v=637249840280730000
ponds crema,Crema antimanchas Ponds Clarant B3 piel seca x 100 g,$ 28.990,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3741731-400-400/image.png?v=637650892359030000
ponds crema,Crema hidratante Ponds flawless día fps30 x 50ml,$ 59.990,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3382286-400-400/6001087368216.jpg?v=636844869446330000
ponds crema,Crema limpiadora Ponds C original x 95 g,$ 21.590,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3503523-400-400/7501056325176.jpg?v=637249840273370000
ponds crema,CREMA FACIAL PONDS AGE MIRACLE NOCHE X 50G,$ 65.900,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3677917-400-400/image-c8fec89939d241c49cba540e6760b7a8.jpg?v=637447858687800000
ponds crema,CREMA FACIAL PONDS AGE MIRACLE DIA SPF15 X 50G,$ 64.650,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3677907-400-400/image-8efed830fd864f61a99b23d555ba134f.jpg?v=637447858601800000
7501056326142,Crema humectante y nutritiva Ponds S x 100 g,$ 15.590,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3503521-400-400/7501056326142.jpg?v=637249840270470000
7501056330293,Crema antimanchas Ponds Clarant B3 piel grasa x 50 g,$ 17.590,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3503517-400-400/7501056330293.jpg?v=637249840254370000
