ean:,nombre,precio,imagen_link
fab,//Labial Vogue Color  Maniac Mate Rosa Fabuloso X4gx1und.                 ,$8900,
fab,Portaminas + Minas Paper  Faber Castell X1und                           ,$7900,https://lh3.googleusercontent.com/IADmViZ-8hqmsVxtk2HR6m0kzl47Yr2wrxoaILI1PHewbY1IUiepEdqPYQC3eBGzQx-ZzRNC5eDCDjhvtWzCCltQ6ii9RgkCkJzr=s650-rw
fab,**Limpiador Liquido  Fabuloso Multiusos Fresca Primavera X 2 Litros  ,$12.900,https://lh3.googleusercontent.com/MK43Mx32M_wmQNlbHws4OYJ8iAyhlbf7bEjZC785Ac6KmpI3rXOg7dx50ZrMqU9W2kJgO-0X2OoJHSMt8k4ocod788L2V8yULusb=s650-rw
fab,Kit Geométrico De  Plastico Faber-castell X 4 Piezas. ,$6100,https://lh3.googleusercontent.com/exTrlxb4DDDXvPfaRL_RJL0cncl69eWW1vUf2J_DiIf2b7mstsK1Haj7vrfmhI7dcKUV5dsVC15tvm1llwJ_4DdNDBV8tvpP5A=s650-rw
fab,Brillo Essence Xxxl Shine Fabulous Fucsia X 5Ml. X1und.,$7990,https://lh3.googleusercontent.com/exTrlxb4DDDXvPfaRL_RJL0cncl69eWW1vUf2J_DiIf2b7mstsK1Haj7vrfmhI7dcKUV5dsVC15tvm1llwJ_4DdNDBV8tvpP5A=s650-rw
fab,Base Covergirl Outlast Stay Fabulous 3-In-1warm Beige 845 X30ml.,$41.200,https://lh3.googleusercontent.com/exTrlxb4DDDXvPfaRL_RJL0cncl69eWW1vUf2J_DiIf2b7mstsK1Haj7vrfmhI7dcKUV5dsVC15tvm1llwJ_4DdNDBV8tvpP5A=s650-rw
fab,Base Covergirl Outlast Stay Fabulous 3-In-1 Creamy Natu 820 X30ml.,$41.200,https://lh3.googleusercontent.com/exTrlxb4DDDXvPfaRL_RJL0cncl69eWW1vUf2J_DiIf2b7mstsK1Haj7vrfmhI7dcKUV5dsVC15tvm1llwJ_4DdNDBV8tvpP5A=s650-rw
fab,//Labial Revlon Matte Fabolous Fig X 4.2 Gr,$26.400,https://lh3.googleusercontent.com/exTrlxb4DDDXvPfaRL_RJL0cncl69eWW1vUf2J_DiIf2b7mstsK1Haj7vrfmhI7dcKUV5dsVC15tvm1llwJ_4DdNDBV8tvpP5A=s650-rw
fab,//Escuadra Transportador Faber Castel Verde,$3700,https://lh3.googleusercontent.com/exTrlxb4DDDXvPfaRL_RJL0cncl69eWW1vUf2J_DiIf2b7mstsK1Haj7vrfmhI7dcKUV5dsVC15tvm1llwJ_4DdNDBV8tvpP5A=s650-rw
fab,//Pestañina  Maximizadora Fabulash Mascara Blackest Brown,0,https://lh3.googleusercontent.com/exTrlxb4DDDXvPfaRL_RJL0cncl69eWW1vUf2J_DiIf2b7mstsK1Haj7vrfmhI7dcKUV5dsVC15tvm1llwJ_4DdNDBV8tvpP5A=s650-rw
fab,//Pestañina Maximizadora Fabulash Mascara Blackest Black,0,https://lh3.googleusercontent.com/exTrlxb4DDDXvPfaRL_RJL0cncl69eWW1vUf2J_DiIf2b7mstsK1Haj7vrfmhI7dcKUV5dsVC15tvm1llwJ_4DdNDBV8tvpP5A=s650-rw
fab,//Pestañina  Maximizadora Fabulash Mascara  Black,$23.500,https://lh3.googleusercontent.com/exTrlxb4DDDXvPfaRL_RJL0cncl69eWW1vUf2J_DiIf2b7mstsK1Haj7vrfmhI7dcKUV5dsVC15tvm1llwJ_4DdNDBV8tvpP5A=s650-rw
fab,//Mascarilla Facial  Celebon De Algas Marinas Y Colágeno X30gr. ,$7900,
fab,//Ampolla Tezblanc  Eficaz Antiedad X143gr. ,$149.900,
fab,//Pañitos Húmedos  Tezblanc X80 Unidades X445gr. ,$44.900,https://lh3.googleusercontent.com/MjbfzcosHj5j11tPGz3oX1QxvLvI2ofSnRyrJ81y5jKrIcDSvnazm9w9Ski09GcUotqmmBP0aR30ZGE4smJoUuxR9bsDCdpwPQ=s650-rw
fab,//Reductor De Poros  Tezblanc X140gr. ,$99.900,
fab,//Gel Tezblanc Pieles  Irritadas Y Sensibles X195gr. ,$69.900,
fab,//Suero Tezblanc  Intensivo Antiedad X127gr. ,$119.900,
fab,//Crema Tezblanc 24  Restaurativa Exfoliante X 123Gr. ,$119.900,https://lh3.googleusercontent.com/GfCH3tGR8XwlzDgjIugxVDlHNP6SumcTSint7u1v9dIM-PuGVQFEvPKo7YhbEQLBAcrlEw1kf0K2D6lyRnUei52lEWdq_cSWtNw=s650-rw
fab,//Mascarilla Facial  Celebon De Cocombro X30gr. ,$7900,
fab,//Mascarilla Facial  Celebon De Granada Y Colágeno X30gr. ,$7900,
fab,//Mascarilla Facial  Celebon Vitamina C Y Colágeno X30gr. ,$7900,
fab,//Mascarilla Facial  Celebon De Caracol Y Colágeno X30gr. ,$7900,
fab,//Mascarilla Facial  Celebon De Aloe Y Colágeno X30gr. ,$7900,
fab,//Crema Tb Antiedad  Manchas De Bambú X227gr. ,$64.900,
fab,//Limpiadora Facial Tb  Espacial Antiacné X173gr. ,$49.900,
fab,//Bloqueador Solar  Tezblanc Spf 50+ Antiedad Sport X267gr. ,$69.900,
fab,//Crema Tezblanc  Nutritiva Y Reafirmante - Antiedad X275gr. ,$99.900,
fab,//Contorno De Ojos  Tezblanc Antiedad X98gr. ,$139.900,
fab,//Crema Tezblanc  Ultra-hidratante Con Ácido Hialurónico X173gr. ,$109.900,
fab,//Crema Tezblanc  Hidratante Con Ácido Hialurónico X 146Gr. ,$89.900,
fab,//Crema Tezblanc  Limpiadora Asombrosa X197gr. ,$49.900,
fab,//Crema Tezblanc  Limpiadora Y Desmaquilladora X246gr. ,$89.900,
maizena,Colada Maizena 4CerealesMulticereal Inf X200g                             ,$8600,https://lh3.googleusercontent.com/Nh3qOBhCC4cN0UMfvclASMbOSkXV-j4ggpOKJq5Aby4zX5EBmtWEHEGKs9aTVPV2oKR6u3A5IM2bFDQ_ipusl60lk6rvxWI_A0eBHiKeuE-Snv3F=s650-rw
maizena,Colada Maizena Cereal  Sabor A Vainilla X 180Gr ,$5100,https://lh3.googleusercontent.com/kOG2Q7_28Le8RZVor2bPFqmgNzXtGonfrnCVpibuOwsqNrVIOunOWp5Z664mmDhXdXAy-E2Ur0en3x1yakDVbCbTarPjCiClUUgS=s650-rw
